Country Name;Country Code;Series Name;Series Code;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Armenia;ARM;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;2.20000000000017;4.69999999999983;7.20000000000003;3.3;3.60000000000001;3.20000000000005;0.200000000000003;7.49999999999989;5.2;7.59999999999998
Armenia;ARM;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;3.249;3.14385;2.77248;2.65018;2.24724;2.80591;2.75812;2.70759;..;..
Armenia;ARM;GDP (current US$);NY.GDP.MKTP.CD;9260284937.79782;10142111334.4961;10619320048.5857;11121465767.4067;11609512939.7543;10553337672.9872;10546135160.031;11527458565.7334;12457941907.0333;13672802157.8324
Armenia;ARM;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;24.42338;..;..;..;27.31002;..;24.38006;..;..
Armenia;ARM;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;..;63.95477;77.35108;73.96835;100;90.70323;87.58868;..;..
Armenia;ARM;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
Armenia;ARM;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;0.3002;..;..;..;0.35095;..;0.31005;..;..
Armenia;ARM;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;71.5081024169922;69.1136016845703;64.9845962524414;70.3220977783203;74.5145034790039;76.8643035888672;74.6239013671875;73.609001159668;74.0613021850586;..
Aruba;ABW;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-3.68502938723299;3.44605475040258;-1.36986301369863;4.19823232323233;0.299999999999983;5.70000087589398;2.09999958566985;1.9999991044233;..;..
Aruba;ABW;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;6.92927;6.11913;6.54906;6.80806;6.16293;6.48175;6.1899;..;..;..
Aruba;ABW;GDP (current US$);NY.GDP.MKTP.CD;2390502793.29609;2549720670.39106;2534636871.50838;2701675977.65363;2765363128.49162;2919553072.6257;2965921787.7095;3056424581.00559;..;..
Aruba;ABW;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;12.85866;..;..;..;..;..;..;..;..;..
Aruba;ABW;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;100;100;100;100;100;100;..;..;..
Aruba;ABW;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
Aruba;ABW;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;0.03394;..;..;..;..;..;..;..;..;..
Aruba;ABW;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;..;..;..
Australia;AUS;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;2.06746567730687;2.46278617259068;3.91816177220686;2.58487511083116;2.5331154467595;2.1926400283338;2.77065669252896;2.36761725296472;2.94033358170461;1.89682574004799
Australia;AUS;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;5.55006;5.07451;4.869;5.22974;5.16477;5.31196;5.27163;..;..;..
Australia;AUS;GDP (current US$);NY.GDP.MKTP.CD;1146138465603.81;1396649906339.35;1546151783872.96;1576184467015.49;1467483705131.74;1351693984524.5;1208846993739.99;1330135756844.41;1433904348500.12;1392680589329.14
Australia;AUS;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;26.7436;24.94645;29.78425;30.02981;31.39119;31.74933;..
Australia;AUS;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;..;..;..;91.62907;92.33827;..;..;..;..
Australia;AUS;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;5.75698;5.32485;7.02229;6.73469;7.36984;7.80558;..
Australia;AUS;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;0.98578;0.93408;1.317;1.08242;1.2035;1.13663;..
Australia;AUS;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;86.3300018310547;86.6399993896484;86.8600006103516;82.5800018310547;..;..;..;..;..;..
Austria;AUT;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;1.83709367680054;2.92279728368581;0.680445576816723;0.0255047121972183;0.661272848852605;1.01450158590511;2.08260842829317;2.47644392123686;2.41976363780752;1.61295932765668
Austria;AUT;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;5.70048;5.59227;5.4804;5.54711;5.44762;5.45675;5.5007;..;..;..
Austria;AUT;GDP (current US$);NY.GDP.MKTP.CD;391892746544.69;431120310088.82;409425234155.263;430068712971.867;441996131736.508;381817565893.574;395227684138.862;418316161095.683;455508255028.219;446314739528.47
Austria;AUT;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;..;12.25237;13.08167;12.968;..;..;..
Austria;AUT;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;95.08272;95.92864;96.02027;95.45086;95.01879;94.51021;93.75376;..;..;..
Austria;AUT;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;10.6243;10.86419;10.66809;..;..;..
Austria;AUT;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;..;1.07839;0.83056;0.4712;..;..;..
Austria;AUT;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;75.245002746582;75.9107971191406;76.5962982177734;76.9093017578125;76.7985992431641;76.8852005004883;76.8841018676758;77.415901184082;76.7076034545898;76.6993026733398
Azerbaijan;AZE;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;4.78924279245965;-1.57299762108386;2.20293902267818;5.84341576237273;2.79758543403612;1.0495463680441;-3.06359845351251;0.153614646686307;1.50040170699388;2.21870427670238
Azerbaijan;AZE;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;2.78062;2.43564;2.06763;2.44213;2.63304;2.95168;2.90341;2.47382;..;..
Azerbaijan;AZE;GDP (current US$);NY.GDP.MKTP.CD;52902703376.1056;65951627200.2026;69683935845.2138;74164435946.4627;75244294275.1498;53074370486.0433;37867518957.1975;40865558912.3867;47112941176.4706;48047647058.8235
Azerbaijan;AZE;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;15.66057;15.68145;15.68779;15.7419;15.71702;..;..
Azerbaijan;AZE;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;97.46343;97.24793;98.29945;95.6417;96.11437;97.81659;98.04771;98.70507;..;..
Azerbaijan;AZE;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
Azerbaijan;AZE;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;0;0;0;..;..;..;..
Azerbaijan;AZE;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;..;..;..
Bahamas, The;BHS;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;1.53877740677106;0.6128974521461;3.0868791768835;-2.95209560730262;0.736540805302539;0.597576299988447;0.446254967609775;0.0666644634030007;1.56575993568239;1.79925562139633
Bahamas, The;BHS;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;..;..;..;..;..;..;..;..;..;..
Bahamas, The;BHS;GDP (current US$);NY.GDP.MKTP.CD;10095760000;10070450000;10720500000;10562700000;10913300000;11752300000;11938400000;12150400000;12424500000;12827000000
Bahamas, The;BHS;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;15.22788;..;..;..;..;..;..;..;..;..
Bahamas, The;BHS;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;..;..;..;..;..;..;..;..;..
Bahamas, The;BHS;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;4.1419;..;..;..;..;..;..;..;..;..
Bahamas, The;BHS;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;0.46001;..;..;..;..;..;..;..;..;..
Bahamas, The;BHS;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;..;..;..
Bahrain;BHR;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;4.33429917283131;1.98351501159991;3.72810843046017;5.41683981012071;4.35039085252969;2.86304730414378;3.47351657476945;3.8117061903064;1.95718329709366;1.81956900625906
Bahrain;BHR;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;..;..;2.64531;2.47688;2.46746;2.66808;..;2.32721;..;..
Bahrain;BHR;GDP (current US$);NY.GDP.MKTP.CD;25713271276.5957;28776595744.6809;30749308510.6383;32539468085.1064;33387712765.9574;31125851063.8298;32250132978.7234;35423643617.0213;37652500000;38574069148.9362
Bahrain;BHR;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;9.47933;..;..;..;..;..;14.282;14.33981;21.60513;..
Bahrain;BHR;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;..;96.151;..;..;..;..;..;..;..
Bahrain;BHR;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;1.00327;..;..;..;..;..;1.29307;1.27901;1.42035;..
Bahrain;BHR;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;0.21463;..;..;..;..;..;0.23339;0.23255;0.24447;..
Bahrain;BHR;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;..;..;..
Bangladesh;BGD;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;5.57180227396866;6.46438388047517;6.52143507837333;6.01361036536019;6.06105935903958;6.55263987869203;7.1135024597439;7.28418409195113;7.86370889257542;8.15268494677524
Bangladesh;BGD;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;..;2.1327;2.1755;1.96616;..;..;1.53554;2.47255;1.98602;..
Bangladesh;BGD;GDP (current US$);NY.GDP.MKTP.CD;115279077465.226;128637938711.386;133355749482.478;149990451022.29;172885454931.453;195078678697.23;221415162445.648;249711052937.012;274039092455.306;302571254131.135
Bangladesh;BGD;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;5.69386;5.87042;5.50232;5.85214;8.23714;8.5096;8.97688;9.36174;..
Bangladesh;BGD;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;..;99.4854;99.46163;..;..;..;85.81731;..;..;..
Bangladesh;BGD;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;1.6817;1.72566;1.96671;2.05822;3.32594;3.48119;3.79244;4.01797;..
Bangladesh;BGD;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;0.07955;0.08145;0.09163;0.09679;0.15837;0.16596;0.17941;0.19305;..
Bangladesh;BGD;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;85.8375015258789;..;..;80.0941009521484;..;..;77.5199966430664;79.6378021240234;..;..
Barbados;BRB;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-2.28645383951682;-0.673289183222963;-0.455606178464279;-1.40656396517079;-0.124547101449281;2.44870196122888;2.47869868319133;0.475110679192298;-0.580333154218167;-0.0961355529131964
Barbados;BRB;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;6.03487;..;5.2589;5.09774;6.22941;..;5.09272;4.65652;..;..
Barbados;BRB;GDP (current US$);NY.GDP.MKTP.CD;4530000000;4657500000;4610000000;4677000000;4696500000;4715000000;4830000000;4978000000;5086500000;5209000000
Barbados;BRB;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;..;..;..;..;..;..;..
Barbados;BRB;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;93.81883;..;..;..;96.39074;..;95.79516;95.55318;..;..
Barbados;BRB;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
Barbados;BRB;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;..;..;..;..;..;..;..
Barbados;BRB;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;..;..;..
Belarus;BLR;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;7.79826682269731;5.37870744981015;1.68713553642841;1.00347084085645;1.72638485417005;-3.82957055828382;-2.52644643552361;2.53218350023035;3.14919759374963;1.22209662862558
Belarus;BLR;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;5.09167;4.68479;4.95964;5.00942;4.81831;4.78752;4.94655;4.79499;..;..
Belarus;BLR;GDP (current US$);NY.GDP.MKTP.CD;57222490768.7143;61757788944.7236;65685102554.8759;75527984234.2342;78813839984.3506;56454734396.5842;47722657820.6675;54726595249.1849;60031262269.3365;63080457022.6599
Belarus;BLR;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;..;..;..;..;..;..;..
Belarus;BLR;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;89.07085;92.19555;88.855;90.94242;91.28303;95.23313;96.03291;94.36782;..;..
Belarus;BLR;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;..;..;..;..;..;..;..
Belarus;BLR;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;..;..;..;..;..;..;..
Belarus;BLR;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;..;..;..;..;..;..;..;..;..;..
Belgium;BEL;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;2.86428532684397;1.69449744610768;0.739229905081658;0.459228050116039;1.57852322952448;2.0327889725624;1.47830076884792;1.90386213925837;1.48763483605245;1.40445520080598
Belgium;BEL;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;6.40799;6.37874;..;6.63966;6.63852;6.53944;6.54513;..;..;..
Belgium;BEL;GDP (current US$);NY.GDP.MKTP.CD;480951629493.033;522645519183.591;496181260258.3;521642714407.843;534678075827.361;462149679343.822;475900865683.644;503788776542.824;542685915417.411;529606710418.038
Belgium;BEL;Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;..;..;..;30.24835;31.259;31.70948;32.16696;..;..;..
Belgium;BEL;Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;96.22295;96.38167;..;94.40839;95.17557;94.96034;94.44009;..;..;..
Belgium;BEL;Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;..;..;..;12.37929;13.49172;13.54171;13.66187;..;..;..
Belgium;BEL;Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;..;..;..;0.53439;0.49464;0.58629;0.62389;..;..;..
Belgium;BEL;Labor force with advanced education (% of total working-age population with advanced education);SL.TLF.ADVN.ZS;76.9167022705078;76.0338973999023;75.8395004272461;75.8061981201172;75.6820983886719;74.9222030639648;74.9630966186523;75.3240966796875;75.0718002319336;74.8189010620117
